Location Type,Descriptor,Complaint Type
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,TOILET,PLUMBING
RESIDENTIAL BUILDING,CABINET,GENERAL
RESIDENTIAL BUILDING,CABINET,GENERAL
RESIDENTIAL BUILDING,ROOFING,OUTSIDE BUILDING
RESIDENTIAL BUILDING,HEAVY FLOW,WATER LEAK
RESIDENTIAL BUILDING,BASIN/SINK,PLUMBING
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,SLOW LEAK,WATER LEAK
RESIDENTIAL BUILDING,MOLD,UNSANITARY CONDITION
RESIDENTIAL BUILDING,SLOW LEAK,WATER LEAK
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,MOLD,UNSANITARY CONDITION
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
3+ Family Apt. Building,Condition Attracting Rodents,Rodent
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,BASIN/SINK,PLUMBING
RESIDENTIAL BUILDING,POWER OUTAGE,ELECTRIC
RESIDENTIAL BUILDING,HEAVY FLOW,WATER LEAK
Vacant Building,Rat Sighting,Rodent
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,NO LIGHTING,ELECTRIC
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,COOKING GAS,GENERAL
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,CABINET,GENERAL
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,WINDOW/FRAME,PAINT/PLASTER
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,BATHTUB/SHOWER,PLUMBING
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,MOLD,UNSANITARY CONDITION
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,FLOOR,FLOORING/STAIRS
RESIDENTIAL BUILDING,BASIN/SINK,PLUMBING
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,TOILET,PLUMBING
RESIDENTIAL BUILDING,CABINET,GENERAL
RESIDENTIAL BUILDING,COOKING GAS,GENERAL
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,DOOR,DOOR/WINDOW
RESIDENTIAL BUILDING,LIGHTING,ELECTRIC
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,BASIN/SINK,PLUMBING
RESIDENTIAL BUILDING,BASIN/SINK,PLUMBING
RESIDENTIAL BUILDING,FLOOR,FLOORING/STAIRS
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,BELL/BUZZER/INTERCOM,GENERAL
1-2 Family Dwelling,Condition Attracting Rodents,Rodent
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,HEAVY FLOW,WATER LEAK
RESIDENTIAL BUILDING,PESTS,UNSANITARY CONDITION
RESIDENTIAL BUILDING,BELL/BUZZER/INTERCOM,GENERAL
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,LIGHTING,ELECTRIC
RESIDENTIAL BUILDING,BASIN/SINK,PLUMBING
RESIDENTIAL BUILDING,STEAM PIPE/RISER,PLUMBING
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,WINDOW FRAME,DOOR/WINDOW
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,HEAVY FLOW,WATER LEAK
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ELECTRIC/GAS RANGE,APPLIANCE
RESIDENTIAL BUILDING,ELECTRIC/GAS RANGE,APPLIANCE
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
3+ Family Apt. Building,Rat Sighting,Rodent
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,DOOR/FRAME,PAINT/PLASTER
RESIDENTIAL BUILDING,WINDOW FRAME,DOOR/WINDOW
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,PESTS,UNSANITARY CONDITION
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
3+ Family Apt. Building,Mouse Sighting,Rodent
RESIDENTIAL BUILDING,SLOW LEAK,WATER LEAK
RESIDENTIAL BUILDING,COOKING GAS,GENERAL
RESIDENTIAL BUILDING,PESTS,UNSANITARY CONDITION
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,TOILET,PLUMBING
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,MOLD,UNSANITARY CONDITION
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,BASIN/SINK,PLUMBING
RESIDENTIAL BUILDING,FLOOR,FLOORING/STAIRS
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,PESTS,UNSANITARY CONDITION
RESIDENTIAL BUILDING,DOOR,DOOR/WINDOW
RESIDENTIAL BUILDING,DOOR,DOOR/WINDOW
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,WATER SUPPLY,PLUMBING
RESIDENTIAL BUILDING,MOLD,UNSANITARY CONDITION
RESIDENTIAL BUILDING,NO LIGHTING,ELECTRIC
RESIDENTIAL BUILDING,MOLD,UNSANITARY CONDITION
RESIDENTIAL BUILDING,BATHTUB/SHOWER,PLUMBING
RESIDENTIAL BUILDING,WIRING,ELECTRIC
RESIDENTIAL BUILDING,MOLD,UNSANITARY CONDITION
RESIDENTIAL BUILDING,MOLD,UNSANITARY CONDITION
RESIDENTIAL BUILDING,FLOOR,FLOORING/STAIRS
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,DOOR,DOOR/WINDOW
RESIDENTIAL BUILDING,LIGHTING,ELECTRIC
RESIDENTIAL BUILDING,OUTLET/SWITCH,ELECTRIC
RESIDENTIAL BUILDING,ELECTRIC/GAS RANGE,APPLIANCE
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,WATER SUPPLY,PLUMBING
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,LIGHTING,ELECTRIC
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,RADIATOR,PLUMBING
RESIDENTIAL BUILDING,DAMP SPOT,WATER LEAK
RESIDENTIAL BUILDING,BASIN/SINK,PLUMBING
RESIDENTIAL BUILDING,WATER SUPPLY,PLUMBING
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,BATHTUB/SHOWER,PLUMBING
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,SMOKE DETECTOR,SAFETY
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,POWER OUTAGE,ELECTRIC
RESIDENTIAL BUILDING,WINDOW FRAME,DOOR/WINDOW
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,DOOR FRAME,DOOR/WINDOW
RESIDENTIAL BUILDING,DOOR,DOOR/WINDOW
RESIDENTIAL BUILDING,MOLD,UNSANITARY CONDITION
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,SMOKE DETECTOR,SAFETY
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
3+ Family Apt. Building,Rat Sighting,Rodent
RESIDENTIAL BUILDING,FLOOR,FLOORING/STAIRS
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,PESTS,UNSANITARY CONDITION
RESIDENTIAL BUILDING,NO LIGHTING,ELECTRIC
RESIDENTIAL BUILDING,DOOR,DOOR/WINDOW
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,BELL/BUZZER/INTERCOM,GENERAL
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,BASIN/SINK,PLUMBING
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,WINDOW PANE,DOOR/WINDOW
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,BASIN/SINK,PLUMBING
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,HEAVY FLOW,WATER LEAK
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,OUTLET/SWITCH,ELECTRIC
RESIDENTIAL BUILDING,NO LIGHTING,ELECTRIC
RESIDENTIAL BUILDING,FLOOR,FLOORING/STAIRS
RESIDENTIAL BUILDING,BATHTUB/SHOWER,PLUMBING
RESIDENTIAL BUILDING,LIGHTING,ELECTRIC
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,HEAVY FLOW,WATER LEAK
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,GARBAGE/RECYCLING STORAGE,UNSANITARY CONDITION
RESIDENTIAL BUILDING,HEAVY FLOW,WATER LEAK
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,BATHTUB/SHOWER,PLUMBING
RESIDENTIAL BUILDING,TOILET,PLUMBING
RESIDENTIAL BUILDING,WINDOW PANE,DOOR/WINDOW
RESIDENTIAL BUILDING,CABINET,GENERAL
RESIDENTIAL BUILDING,JANITOR/SUPER,GENERAL
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,RADIATOR,PLUMBING
RESIDENTIAL BUILDING,WINDOW PANE,DOOR/WINDOW
RESIDENTIAL BUILDING,FLOOR,FLOORING/STAIRS
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,WIRING,ELECTRIC
RESIDENTIAL BUILDING,LIGHTING,ELECTRIC
RESIDENTIAL BUILDING,DOOR,DOOR/WINDOW
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,WINDOW FRAME,DOOR/WINDOW
RESIDENTIAL BUILDING,MOLD,UNSANITARY CONDITION
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
3+ Family Apartment Building,Animal Waste,Unsanitary Animal Pvt Property
RESIDENTIAL BUILDING,DOOR,DOOR/WINDOW
RESIDENTIAL BUILDING,LIGHTING,ELECTRIC
RESIDENTIAL BUILDING,DOOR,DOOR/WINDOW
RESIDENTIAL BUILDING,HEAVY FLOW,WATER LEAK
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,FLOOR,FLOORING/STAIRS
RESIDENTIAL BUILDING,WATER SUPPLY,PLUMBING
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,WIRING,ELECTRIC
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,SEWAGE,UNSANITARY CONDITION
RESIDENTIAL BUILDING,ELECTRIC/GAS RANGE,APPLIANCE
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,BASIN/SINK,PLUMBING
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,COOKING GAS,GENERAL
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,LIGHTING,ELECTRIC
RESIDENTIAL BUILDING,MAILBOX,GENERAL
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,PESTS,UNSANITARY CONDITION
RESIDENTIAL BUILDING,TOILET,PLUMBING
RESIDENTIAL BUILDING,MOLD,UNSANITARY CONDITION
RESIDENTIAL BUILDING,FLOOR,FLOORING/STAIRS
RESIDENTIAL BUILDING,MOLD,UNSANITARY CONDITION
RESIDENTIAL BUILDING,DOOR,DOOR/WINDOW
RESIDENTIAL BUILDING,LIGHTING,ELECTRIC
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,FLOOR,FLOORING/STAIRS
RESIDENTIAL BUILDING,WINDOW FRAME,DOOR/WINDOW
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,MOLD,UNSANITARY CONDITION
RESIDENTIAL BUILDING,WINDOW FRAME,DOOR/WINDOW
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,MOLD,UNSANITARY CONDITION
RESIDENTIAL BUILDING,STEAM PIPE/RISER,PLUMBING
RESIDENTIAL BUILDING,WINDOW PANE,DOOR/WINDOW
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,BELL/BUZZER/INTERCOM,GENERAL
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,WINDOW GUARD BROKEN/MISSING,SAFETY
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,FIRE ESCAPE,SAFETY
RESIDENTIAL BUILDING,LIGHTING,ELECTRIC
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,MOLD,UNSANITARY CONDITION
RESIDENTIAL BUILDING,STAIRS,FLOORING/STAIRS
RESIDENTIAL BUILDING,FLOOR,FLOORING/STAIRS
RESIDENTIAL BUILDING,BATHTUB/SHOWER,PLUMBING
3+ Family Mixed Use Building,Signs of Rodents,Rodent
RESIDENTIAL BUILDING,WATER SUPPLY,PLUMBING
RESIDENTIAL BUILDING,MOLD,UNSANITARY CONDITION
RESIDENTIAL BUILDING,SLOW LEAK,WATER LEAK
RESIDENTIAL BUILDING,SLOW LEAK,WATER LEAK
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,REFRIGERATOR,APPLIANCE
RESIDENTIAL BUILDING,DOOR,DOOR/WINDOW
RESIDENTIAL BUILDING,RADIATOR,PLUMBING
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,SLOW LEAK,WATER LEAK
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,MOLD,UNSANITARY CONDITION
RESIDENTIAL BUILDING,FLOOR,FLOORING/STAIRS
RESIDENTIAL BUILDING,TOILET,PLUMBING
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,DOOR FRAME,DOOR/WINDOW
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,WINDOW FRAME,DOOR/WINDOW
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,FLOOR,FLOORING/STAIRS
RESIDENTIAL BUILDING,PESTS,UNSANITARY CONDITION
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,BATHTUB/SHOWER,PLUMBING
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,FLOOR,FLOORING/STAIRS
RESIDENTIAL BUILDING,BELL/BUZZER/INTERCOM,GENERAL
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,COOKING GAS,GENERAL
RESIDENTIAL BUILDING,WINDOW FRAME,DOOR/WINDOW
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,CARBON MONOXIDE DETECTOR,SAFETY
RESIDENTIAL BUILDING,WINDOW FRAME,DOOR/WINDOW
RESIDENTIAL BUILDING,WINDOW FRAME,DOOR/WINDOW
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,FLOOR,FLOORING/STAIRS
RESIDENTIAL BUILDING,WINDOW FRAME,DOOR/WINDOW
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,BELL/BUZZER/INTERCOM,GENERAL
RESIDENTIAL BUILDING,FLOOR,FLOORING/STAIRS
Other (Explain Below),Mouse Sighting,Rodent
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,FLOOR,FLOORING/STAIRS
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
1-2 Family Dwelling,Animal Waste,Unsanitary Animal Pvt Property
RESIDENTIAL BUILDING,WINDOW PANE,DOOR/WINDOW
RESIDENTIAL BUILDING,FLOOR,FLOORING/STAIRS
RESIDENTIAL BUILDING,PESTS,UNSANITARY CONDITION
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,FLOOR,FLOORING/STAIRS
RESIDENTIAL BUILDING,RADIATOR,PLUMBING
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,TOILET,PLUMBING
RESIDENTIAL BUILDING,WATER SUPPLY,PLUMBING
RESIDENTIAL BUILDING,SLOW LEAK,WATER LEAK
RESIDENTIAL BUILDING,BATHTUB/SHOWER,PLUMBING
RESIDENTIAL BUILDING,REFRIGERATOR,APPLIANCE
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,WATER SUPPLY,PLUMBING
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,NO LIGHTING,ELECTRIC
RESIDENTIAL BUILDING,WINDOW FRAME,DOOR/WINDOW
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,DOOR,DOOR/WINDOW
RESIDENTIAL BUILDING,PESTS,UNSANITARY CONDITION
RESIDENTIAL BUILDING,FLOOR,FLOORING/STAIRS
RESIDENTIAL BUILDING,DOOR,DOOR/WINDOW
3+ Family Apt. Building,Rat Sighting,Rodent
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
1-2 Family Dwelling,Mouse Sighting,Rodent
RESIDENTIAL BUILDING,GARBAGE/RECYCLING STORAGE,UNSANITARY CONDITION
RESIDENTIAL BUILDING,CARBON MONOXIDE DETECTOR,SAFETY
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,CEILING,PAINT/PLASTER
RESIDENTIAL BUILDING,FLOOR,FLOORING/STAIRS
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
3+ Family Apt. Building,Condition Attracting Rodents,Rodent
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ELECTRIC/GAS RANGE,APPLIANCE
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ELECTRIC/GAS RANGE,APPLIANCE
RESIDENTIAL BUILDING,DOOR,DOOR/WINDOW
RESIDENTIAL BUILDING,TOILET,PLUMBING
RESIDENTIAL BUILDING,BASIN/SINK,PLUMBING
RESIDENTIAL BUILDING,DOOR,DOOR/WINDOW
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
3+ Family Mixed Use Building,Rat Sighting,Rodent
RESIDENTIAL BUILDING,MOLD,UNSANITARY CONDITION
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,MOLD,UNSANITARY CONDITION
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
1-2 Family Dwelling,Animal Waste,Unsanitary Animal Pvt Property
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,BASIN/SINK,PLUMBING
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,WALL,PAINT/PLASTER
RESIDENTIAL BUILDING,MOLD,UNSANITARY CONDITION
RESIDENTIAL BUILDING,OUTLET/SWITCH,ELECTRIC
Other (Explain Below),Rat Sighting,Rodent
RESIDENTIAL BUILDING,WINDOW GUARD BROKEN/MISSING,SAFETY
RESIDENTIAL BUILDING,HEAVY FLOW,WATER LEAK
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,FLOOR,FLOORING/STAIRS
RESIDENTIAL BUILDING,MOLD,UNSANITARY CONDITION
RESIDENTIAL BUILDING,MOLD,UNSANITARY CONDITION
RESIDENTIAL BUILDING,WIRING,ELECTRIC
